1
586.0000,302.0000,190.0000,210.0000
592.0000,305.0000,190.0000,210.0000
624.0000,299.0000,189.0000,210.0000
639.0000,310.0000,189.0000,210.0000
633.0000,322.0000,189.0000,210.0000
648.0000,325.0000,189.0000,210.0000
663.0000,325.0000,189.0000,210.0000
658.0000,336.0000,189.0000,210.0000
670.0000,344.0000,189.0000,210.0000
672.0000,351.0000,189.0000,210.0000
672.0000,361.0000,189.0000,210.0000
672.0000,374.0000,189.0000,210.0000
658.0000,369.0000,189.0000,210.0000
648.0000,360.0000,189.0000,210.0000
646.0000,333.0000,190.0000,208.0000
645.0000,328.0000,190.0000,207.0000
640.0000,319.0000,192.0000,200.0000
642.0000,313.0000,190.0000,198.0000
640.0000,304.0000,190.0000,197.0000
639.0000,294.0000,188.0000,197.0000
637.0000,294.0000,187.0000,197.0000
637.0000,294.0000,187.0000,197.0000
634.0000,288.0000,187.0000,197.0000
631.0000,285.0000,187.0000,197.0000
630.0000,285.0000,187.0000,197.0000
623.0000,275.0000,187.0000,197.0000
626.0000,267.0000,187.0000,197.0000
625.0000,265.0000,187.0000,197.0000
624.0000,266.0000,187.0000,197.0000
622.0000,257.0000,187.0000,197.0000
622.0000,259.0000,187.0000,197.0000
623.0000,265.0000,187.0000,197.0000
611.0000,268.0000,187.0000,197.0000
610.0000,270.0000,187.0000,197.0000
609.0000,267.0000,187.0000,197.0000
614.0000,257.0000,187.0000,197.0000
620.0000,254.0000,187.0000,197.0000
613.0000,251.0000,187.0000,197.0000
607.0000,256.0000,187.0000,197.0000
611.0000,256.0000,187.0000,197.0000
615.0000,266.0000,187.0000,197.0000
610.0000,273.0000,187.0000,197.0000
606.0000,276.0000,187.0000,197.0000
604.0000,271.0000,187.0000,197.0000
609.0000,278.0000,187.0000,197.0000
606.0000,289.0000,187.0000,197.0000
611.0000,298.0000,187.0000,197.0000
599.0000,305.0000,187.0000,197.0000
575.0000,307.0000,187.0000,197.0000
576.0000,321.0000,187.0000,197.0000
579.0000,323.0000,187.0000,197.0000
587.0000,327.0000,187.0000,197.0000
582.0000,324.0000,187.0000,197.0000
581.0000,330.0000,187.0000,197.0000
583.0000,339.0000,187.0000,197.0000
577.0000,344.0000,187.0000,197.0000
579.0000,357.0000,187.0000,197.0000
2
0
0
